person_id,age_group,hours_of_sleep,exercise_per_week,income_satisfaction,social_interactions_per_week,stress_level,diet_quality_score,screen_time_hours,urban_rural,employment_status,relationship_status,religious_affiliation,political_alignment,sexual_orientation,music_listening_hours,favorite_tv_genre,pet_ownership,region,happiness_score,high_stress,depression_risk
1,60+,6.7,1,6.7,4,7.1,5.9,5.2,urban,unemployed,married,hindu,left,homosexual,0.4,reality,yes,east,4.5,yes,medium
2,26–40,8.1,4,7.2,7,6.5,1.4,2.7,urban,retired,divorced,christian,right,heterosexual,2.5,sports,no,west,5.0,no,medium
3,26–40,6.7,5,9.5,6,3.7,9.2,3.8,suburban,student,widowed,none,left,other,1.9,drama,yes,north,9.2,no,low
4,26–40,7.9,6,5.6,5,3.4,9.3,3.0,urban,retired,married,muslim,center,heterosexual,2.6,comedy,no,west,6.7,no,medium
5,26–40,7.0,3,3.9,7,4.0,2.6,2.6,suburban,student,widowed,christian,left,bisexual,1.9,comedy,yes,south,3.3,no,high
6,41–60,6.7,4,9.3,5,3.8,9.8,4.9,urban,unemployed,single,none,right,other,1.4,reality,yes,east,4.4,no,medium
7,26–40,5.8,4,1.6,6,1.7,5.0,6.5,urban,unemployed,widowed,other,other,bisexual,1.8,reality,yes,north,7.9,no,low
8,26–40,7.1,2,2.9,5,8.2,9.2,7.0,urban,unemployed,single,christian,center,bisexual,3.6,reality,no,south,6.5,yes,medium
9,26–40,7.9,3,4.1,4,4.3,4.3,5.6,suburban,retired,single,other,other,other,1.2,comedy,no,north,5.8,no,medium
10,26–40,6.2,3,8.0,10,7.4,1.2,2.3,rural,unemployed,widowed,other,other,homosexual,1.7,comedy,yes,north,2.6,yes,high
11,60+,7.0,5,9.1,8,3.5,8.2,3.8,suburban,unemployed,divorced,christian,left,bisexual,0.4,drama,yes,south,7.0,no,low
12,18–25,6.3,2,5.1,3,6.4,9.0,3.9,urban,unemployed,widowed,christian,left,bisexual,0.2,drama,yes,east,9.7,no,low
13,18–25,9.3,2,3.6,2,1.3,2.5,4.8,suburban,student,divorced,muslim,left,bisexual,0.5,reality,yes,south,6.4,no,medium
14,18–25,7.4,5,4.2,6,2.0,6.0,5.1,suburban,unemployed,single,other,right,heterosexual,-0.2,news,no,east,7.8,no,low
15,60+,7.1,1,6.9,4,4.3,8.5,3.3,suburban,retired,widowed,christian,center,homosexual,0.6,drama,yes,north,3.0,no,high
16,41–60,6.4,4,2.4,6,3.4,5.2,5.9,suburban,retired,widowed,other,left,bisexual,2.5,comedy,yes,north,6.8,no,medium
17,60+,8.1,0,5.9,2,4.2,8.1,7.5,suburban,unemployed,divorced,hindu,right,other,2.8,sports,yes,south,6.9,no,medium
18,26–40,7.0,0,6.3,3,9.4,6.7,4.5,urban,retired,widowed,hindu,other,bisexual,0.5,news,yes,north,2.8,yes,high
19,26–40,6.9,2,7.4,6,1.7,7.5,3.2,urban,unemployed,widowed,hindu,center,bisexual,0.5,comedy,yes,north,6.3,no,medium
20,41–60,6.9,3,6.4,8,5.2,9.3,5.6,urban,unemployed,divorced,other,other,heterosexual,1.9,news,yes,west,7.0,no,low
21,18–25,5.7,3,1.9,3,2.8,4.8,5.7,urban,retired,divorced,other,left,homosexual,4.7,sports,no,west,5.3,no,medium
22,26–40,8.8,5,7.2,6,4.2,7.9,5.0,rural,employed,married,christian,center,bisexual,1.2,reality,yes,west,9.1,no,low
23,26–40,8.1,1,1.2,7,7.1,7.4,4.0,suburban,retired,divorced,christian,right,bisexual,1.6,news,no,east,3.1,yes,high
24,26–40,7.0,0,4.5,3,9.8,5.0,6.1,suburban,student,single,muslim,center,bisexual,3.5,sports,yes,west,3.3,yes,high
25,26–40,6.9,6,4.8,4,7.3,4.4,2.6,urban,student,single,muslim,center,heterosexual,3.4,sports,no,south,6.3,yes,medium
26,18–25,5.9,6,2.0,5,9.0,8.9,3.9,suburban,employed,divorced,muslim,center,heterosexual,2.9,news,no,west,5.7,yes,medium
27,18–25,5.2,5,1.1,9,2.3,2.8,6.9,urban,student,married,none,left,other,3.2,news,yes,east,4.2,no,medium
28,26–40,5.9,5,1.6,4,2.6,3.9,4.0,suburban,retired,married,hindu,other,bisexual,3.5,news,yes,west,7.6,no,low
29,41–60,8.4,3,5.0,5,8.9,9.8,4.0,urban,retired,widowed,other,other,heterosexual,1.4,news,yes,south,3.5,yes,high
30,18–25,6.5,1,3.2,11,6.5,3.5,4.3,suburban,student,married,hindu,left,other,2.6,reality,yes,west,2.6,no,high
31,26–40,8.3,1,1.6,6,8.1,8.9,2.6,suburban,unemployed,single,other,left,other,1.5,comedy,yes,west,5.1,yes,medium
32,18–25,7.0,2,3.3,5,3.0,4.3,2.3,urban,student,single,none,other,homosexual,1.0,drama,no,north,6.4,no,medium
33,26–40,6.0,0,5.8,9,4.1,6.0,3.2,rural,employed,divorced,other,left,other,2.7,reality,no,west,3.5,no,high
34,26–40,6.1,1,7.7,5,1.7,4.6,3.7,suburban,student,divorced,muslim,left,bisexual,1.7,news,yes,west,3.1,no,high
35,41–60,7.3,1,4.7,3,9.1,3.0,5.8,urban,employed,widowed,hindu,left,homosexual,1.8,sports,no,north,4.0,yes,medium
36,41–60,5.1,1,6.5,2,9.6,7.2,4.4,suburban,employed,divorced,hindu,left,homosexual,3.4,reality,no,west,0.7,yes,high
37,26–40,6.1,6,6.4,4,8.7,9.7,6.3,suburban,retired,married,hindu,other,homosexual,2.4,drama,yes,south,6.3,yes,medium
38,18–25,6.5,0,9.1,1,4.9,9.0,4.8,rural,student,widowed,none,right,heterosexual,1.8,drama,yes,south,5.9,no,medium
39,18–25,8.0,2,2.6,7,4.1,9.9,5.3,urban,unemployed,divorced,hindu,right,heterosexual,1.9,reality,yes,west,9.2,no,low
40,60+,7.3,4,5.3,2,5.2,7.2,4.9,suburban,employed,divorced,christian,other,homosexual,0.4,sports,yes,south,7.1,no,low
41,41–60,7.2,3,6.7,4,6.7,1.3,6.4,suburban,student,divorced,muslim,center,heterosexual,2.8,sports,yes,north,3.5,no,high
42,18–25,7.6,6,5.7,4,4.9,6.0,4.1,urban,student,divorced,muslim,center,heterosexual,1.8,sports,yes,west,7.0,no,low
43,18–25,8.2,5,5.1,2,4.8,6.6,4.1,suburban,retired,divorced,other,right,bisexual,1.7,comedy,yes,west,8.1,no,low
44,26–40,7.1,5,9.8,6,4.9,2.1,2.4,urban,unemployed,single,none,other,other,3.9,sports,yes,east,6.0,no,medium
45,18–25,5.8,0,9.5,5,7.7,8.5,5.3,urban,unemployed,widowed,other,right,bisexual,3.0,drama,yes,north,4.0,yes,medium
46,41–60,7.2,6,6.5,6,8.1,7.6,3.3,suburban,student,single,other,center,bisexual,2.3,news,yes,north,7.9,yes,low
47,26–40,6.0,0,5.0,5,8.8,5.0,5.1,suburban,unemployed,widowed,muslim,right,bisexual,2.5,news,no,west,1.6,yes,high
48,26–40,4.5,6,7.8,3,3.2,3.6,4.3,urban,employed,married,christian,right,homosexual,3.3,drama,yes,west,3.6,no,high
49,26–40,7.2,5,5.6,4,2.4,3.0,2.3,rural,retired,married,none,right,heterosexual,1.7,sports,no,north,3.5,no,high
50,26–40,7.6,0,10.0,9,4.1,9.7,4.1,suburban,student,married,none,center,homosexual,2.9,news,no,south,8.2,no,low
51,26–40,7.4,4,7.2,5,4.8,8.2,3.4,suburban,unemployed,widowed,none,center,bisexual,0.7,drama,yes,north,5.3,no,medium
52,41–60,7.6,3,1.6,3,7.3,7.2,1.9,suburban,student,single,christian,other,other,2.3,sports,no,east,4.9,yes,medium
53,26–40,8.3,3,4.6,4,7.8,9.5,4.5,suburban,unemployed,single,none,left,bisexual,0.0,comedy,yes,south,6.1,yes,medium
